id;key;question;options_1234;options_1243;options_1324;options_1342;options_1423;options_1432;options_2134;options_2143;options_2314;options_2341;options_2413;options_2431;options_3124;options_3142;options_3214;options_3241;options_3412;options_3421;options_4123;options_4132;options_4213;options_4231;options_4312;options_4321
6;MASC1F1_W29;Thinking about how society sees men these days, in general, would you say;['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither', 'Refused'];['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Refused', 'Neither'];['Most people look up to men who are manly or masculine', 'Neither', 'Most people look down on men who are manly or masculine', 'Refused'];['Most people look up to men who are manly or masculine', 'Neither', 'Refused', 'Most people look down on men who are manly or masculine'];['Most people look up to men who are manly or masculine', 'Refused', 'Most people look down on men who are manly or masculine', 'Neither'];['Most people look up to men who are manly or masculine', 'Refused', 'Neither', 'Most people look down on men who are manly or masculine'];['Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine', 'Neither', 'Refused'];['Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine', 'Refused', 'Neither'];['Most people look down on men who are manly or masculine', 'Neither', 'Most people look up to men who are manly or masculine', 'Refused'];['Most people look down on men who are manly or masculine', 'Neither', 'Refused', 'Most people look up to men who are manly or masculine'];['Most people look down on men who are manly or masculine', 'Refused', 'Most people look up to men who are manly or masculine', 'Neither'];['Most people look down on men who are manly or masculine', 'Refused', 'Neither', 'Most people look up to men who are manly or masculine'];['Neither', 'Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Refused'];['Neither', 'Most people look up to men who are manly or masculine', 'Refused', 'Most people look down on men who are manly or masculine'];['Neither', 'Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine', 'Refused'];['Neither', 'Most people look down on men who are manly or masculine', 'Refused', 'Most people look up to men who are manly or masculine'];['Neither', 'Refused', 'Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine'];['Neither', 'Refused', 'Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine'];['Refused', 'Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither'];['Refused', 'Most people look up to men who are manly or masculine', 'Neither', 'Most people look down on men who are manly or masculine'];['Refused', 'Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine', 'Neither'];['Refused', 'Most people look down on men who are manly or masculine', 'Neither', 'Most people look up to men who are manly or masculine'];['Refused', 'Neither', 'Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine'];['Refused', 'Neither', 'Most people look down on men who are manly or masculine', 'Most people look up to men who are manly or masculine']
9;FEM1F2_W29;Thinking about how society sees women these days, in general, would you say;['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither', 'Refused'];['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Refused', 'Neither'];['Most people look up to women who are womanly or feminine', 'Neither', 'Most people look down on women who are womanly or feminine', 'Refused'];['Most people look up to women who are womanly or feminine', 'Neither', 'Refused', 'Most people look down on women who are womanly or feminine'];['Most people look up to women who are womanly or feminine', 'Refused', 'Most people look down on women who are womanly or feminine', 'Neither'];['Most people look up to women who are womanly or feminine', 'Refused', 'Neither', 'Most people look down on women who are womanly or feminine'];['Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine', 'Neither', 'Refused'];['Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine', 'Refused', 'Neither'];['Most people look down on women who are womanly or feminine', 'Neither', 'Most people look up to women who are womanly or feminine', 'Refused'];['Most people look down on women who are womanly or feminine', 'Neither', 'Refused', 'Most people look up to women who are womanly or feminine'];['Most people look down on women who are womanly or feminine', 'Refused', 'Most people look up to women who are womanly or feminine', 'Neither'];['Most people look down on women who are womanly or feminine', 'Refused', 'Neither', 'Most people look up to women who are womanly or feminine'];['Neither', 'Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Refused'];['Neither', 'Most people look up to women who are womanly or feminine', 'Refused', 'Most people look down on women who are womanly or feminine'];['Neither', 'Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine', 'Refused'];['Neither', 'Most people look down on women who are womanly or feminine', 'Refused', 'Most people look up to women who are womanly or feminine'];['Neither', 'Refused', 'Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine'];['Neither', 'Refused', 'Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine'];['Refused', 'Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither'];['Refused', 'Most people look up to women who are womanly or feminine', 'Neither', 'Most people look down on women who are womanly or feminine'];['Refused', 'Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine', 'Neither'];['Refused', 'Most people look down on women who are womanly or feminine', 'Neither', 'Most people look up to women who are womanly or feminine'];['Refused', 'Neither', 'Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine'];['Refused', 'Neither', 'Most people look down on women who are womanly or feminine', 'Most people look up to women who are womanly or feminine']
17;BOYSF1A_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
18;BOYSF1B_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
19;BOYSF1C_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
20;BOYSF1D_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
21;GIRLSF2A_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
22;GIRLSF2B_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
23;GIRLSF2C_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
24;GIRLSF2D_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?;['Too much emphasis', 'Too little emphasis', 'About right', 'Refused'];['Too much emphasis', 'Too little emphasis', 'Refused', 'About right'];['Too much emphasis', 'About right', 'Too little emphasis', 'Refused'];['Too much emphasis', 'About right', 'Refused', 'Too little emphasis'];['Too much emphasis', 'Refused', 'Too little emphasis', 'About right'];['Too much emphasis', 'Refused', 'About right', 'Too little emphasis'];['Too little emphasis', 'Too much emphasis', 'About right', 'Refused'];['Too little emphasis', 'Too much emphasis', 'Refused', 'About right'];['Too little emphasis', 'About right', 'Too much emphasis', 'Refused'];['Too little emphasis', 'About right', 'Refused', 'Too much emphasis'];['Too little emphasis', 'Refused', 'Too much emphasis', 'About right'];['Too little emphasis', 'Refused', 'About right', 'Too much emphasis'];['About right', 'Too much emphasis', 'Too little emphasis', 'Refused'];['About right', 'Too much emphasis', 'Refused', 'Too little emphasis'];['About right', 'Too little emphasis', 'Too much emphasis', 'Refused'];['About right', 'Too little emphasis', 'Refused', 'Too much emphasis'];['About right', 'Refused', 'Too much emphasis', 'Too little emphasis'];['About right', 'Refused', 'Too little emphasis', 'Too much emphasis'];['Refused', 'Too much emphasis', 'Too little emphasis', 'About right'];['Refused', 'Too much emphasis', 'About right', 'Too little emphasis'];['Refused', 'Too little emphasis', 'Too much emphasis', 'About right'];['Refused', 'Too little emphasis', 'About right', 'Too much emphasis'];['Refused', 'About right', 'Too much emphasis', 'Too little emphasis'];['Refused', 'About right', 'Too little emphasis', 'Too much emphasis']
