id;key;question;options_123;options_132;options_213;options_231;options_312;options_321
1;DIFF1A_W29;Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?;['Men and women are basically similar', 'Men and women are basically different', 'Refused'];['Men and women are basically similar', 'Refused', 'Men and women are basically different'];['Men and women are basically different', 'Men and women are basically similar', 'Refused'];['Men and women are basically different', 'Refused', 'Men and women are basically similar'];['Refused', 'Men and women are basically similar', 'Men and women are basically different'];['Refused', 'Men and women are basically different', 'Men and women are basically similar']
2;DIFF1B_W29;Do you think men and women are basically similar or basically different when it comes to their physical abilities?;['Men and women are basically similar', 'Men and women are basically different', 'Refused'];['Men and women are basically similar', 'Refused', 'Men and women are basically different'];['Men and women are basically different', 'Men and women are basically similar', 'Refused'];['Men and women are basically different', 'Refused', 'Men and women are basically similar'];['Refused', 'Men and women are basically similar', 'Men and women are basically different'];['Refused', 'Men and women are basically different', 'Men and women are basically similar']
3;DIFF1C_W29;Do you think men and women are basically similar or basically different when it comes to their approach to parenting?;['Men and women are basically similar', 'Men and women are basically different', 'Refused'];['Men and women are basically similar', 'Refused', 'Men and women are basically different'];['Men and women are basically different', 'Men and women are basically similar', 'Refused'];['Men and women are basically different', 'Refused', 'Men and women are basically similar'];['Refused', 'Men and women are basically similar', 'Men and women are basically different'];['Refused', 'Men and women are basically different', 'Men and women are basically similar']
4;DIFF1D_W29;Do you think men and women are basically similar or basically different when it comes to how they express their feelings?;['Men and women are basically similar', 'Men and women are basically different', 'Refused'];['Men and women are basically similar', 'Refused', 'Men and women are basically different'];['Men and women are basically different', 'Men and women are basically similar', 'Refused'];['Men and women are basically different', 'Refused', 'Men and women are basically similar'];['Refused', 'Men and women are basically similar', 'Men and women are basically different'];['Refused', 'Men and women are basically different', 'Men and women are basically similar']
5;DIFF1E_W29;Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?;['Men and women are basically similar', 'Men and women are basically different', 'Refused'];['Men and women are basically similar', 'Refused', 'Men and women are basically different'];['Men and women are basically different', 'Men and women are basically similar', 'Refused'];['Men and women are basically different', 'Refused', 'Men and women are basically similar'];['Refused', 'Men and women are basically similar', 'Men and women are basically different'];['Refused', 'Men and women are basically different', 'Men and women are basically similar']
7;MASC2AF1_W29;Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine?;['Good thing', 'Bad thing', 'Refused'];['Good thing', 'Refused', 'Bad thing'];['Bad thing', 'Good thing', 'Refused'];['Bad thing', 'Refused', 'Good thing'];['Refused', 'Good thing', 'Bad thing'];['Refused', 'Bad thing', 'Good thing']
8;MASC2BF1_W29;Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine?;['Good thing', 'Bad thing', 'Refused'];['Good thing', 'Refused', 'Bad thing'];['Bad thing', 'Good thing', 'Refused'];['Bad thing', 'Refused', 'Good thing'];['Refused', 'Good thing', 'Bad thing'];['Refused', 'Bad thing', 'Good thing']
10;FEM2AF2_W29;Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine?;['Good thing', 'Bad thing', 'Refused'];['Good thing', 'Refused', 'Bad thing'];['Bad thing', 'Good thing', 'Refused'];['Bad thing', 'Refused', 'Good thing'];['Refused', 'Good thing', 'Bad thing'];['Refused', 'Bad thing', 'Good thing']
11;FEM2BF2_W29;Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine?;['Good thing', 'Bad thing', 'Refused'];['Good thing', 'Refused', 'Bad thing'];['Bad thing', 'Good thing', 'Refused'];['Bad thing', 'Refused', 'Good thing'];['Refused', 'Good thing', 'Bad thing'];['Refused', 'Bad thing', 'Good thing']
31;WOMENOPPS_W32;Which statement comes closer to your own views?;['The obstacles that once made it harder for women than men to get ahead are now largely gone', 'There are still significant obstacles that make it harder for women to get ahead than men', 'Refused'];['The obstacles that once made it harder for women than men to get ahead are now largely gone', 'Refused', 'There are still significant obstacles that make it harder for women to get ahead than men'];['There are still significant obstacles that make it harder for women to get ahead than men', 'The obstacles that once made it harder for women than men to get ahead are now largely gone', 'Refused'];['There are still significant obstacles that make it harder for women to get ahead than men', 'Refused', 'The obstacles that once made it harder for women than men to get ahead are now largely gone'];['Refused', 'The obstacles that once made it harder for women than men to get ahead are now largely gone', 'There are still significant obstacles that make it harder for women to get ahead than men'];['Refused', 'There are still significant obstacles that make it harder for women to get ahead than men', 'The obstacles that once made it harder for women than men to get ahead are now largely gone']
