key,option,weighted_share
DIFF1A_W29,Men and women are basically different,0.6811353012732202
DIFF1A_W29,Men and women are basically similar,0.31174358204015323
DIFF1A_W29,Refused,0.007121116686626647
DIFF1B_W29,Men and women are basically different,0.7545634728162728
DIFF1B_W29,Men and women are basically similar,0.2362957255991554
DIFF1B_W29,Refused,0.009140801584571794
DIFF1C_W29,Men and women are basically different,0.6485970554809258
DIFF1C_W29,Men and women are basically similar,0.3438439637714271
DIFF1C_W29,Refused,0.007558980747647069
DIFF1D_W29,Men and women are basically different,0.8680870815007893
DIFF1D_W29,Men and women are basically similar,0.12247697867870219
DIFF1D_W29,Refused,0.00943593982050865
DIFF1E_W29,Men and women are basically different,0.36403520490056174
DIFF1E_W29,Men and women are basically similar,0.6278572448977356
DIFF1E_W29,Refused,0.008107550201702706
MASC1F1_W29,Most people look down on men who are manly or masculine,0.07845259555745274
MASC1F1_W29,Most people look up to men who are manly or masculine,0.5294779469343617
MASC1F1_W29,Neither,0.3850994521387373
MASC1F1_W29,Refused,0.006970005369448216
MASC2AF1_W29,Bad thing,0.37122007580135946
MASC2AF1_W29,Good thing,0.6043720548446175
MASC2AF1_W29,Refused,0.02440786935402311
MASC2BF1_W29,Bad thing,0.9243400261521113
MASC2BF1_W29,Good thing,0.07224556762911542
MASC2BF1_W29,Refused,0.0034144062187733376
FEM1F2_W29,Most people look down on women who are womanly or feminine,0.11095643837029834
FEM1F2_W29,Most people look up to women who are womanly or feminine,0.30744906203353095
FEM1F2_W29,Neither,0.5785509193707646
FEM1F2_W29,Refused,0.0030435802254061436
FEM2AF2_W29,Bad thing,0.1627033235646409
FEM2AF2_W29,Good thing,0.8187089273896605
FEM2AF2_W29,Refused,0.018587749045698643
FEM2BF2_W29,Bad thing,0.9658630363260929
FEM2BF2_W29,Good thing,0.03413696367390721
MAN1A_W29,A lot,0.27475759847716724
MAN1A_W29,None at all,0.033998977358465375
MAN1A_W29,Not too much,0.2559369393025252
MAN1A_W29,Refused,0.002971659087744828
MAN1A_W29,Some,0.4323348257740973
MAN1B_W29,A lot,0.1098015052073076
MAN1B_W29,None at all,0.2542695288928968
MAN1B_W29,Not too much,0.33859874506981436
MAN1B_W29,Refused,0.0059082182594359526
MAN1B_W29,Some,0.29142200257054524
MAN1C_W29,A lot,0.09706866175985722
MAN1C_W29,None at all,0.18634853340220583
MAN1C_W29,Not too much,0.35309657314177845
MAN1C_W29,Refused,0.0033436018606122072
MAN1C_W29,Some,0.36014262983554624
MAN1D_W29,A lot,0.14671935870623584
MAN1D_W29,None at all,0.11945130105399009
MAN1D_W29,Not too much,0.3097278396077937
MAN1D_W29,Refused,0.0032418162251705005
MAN1D_W29,Some,0.4208596844068098
MAN1E_W29,A lot,0.4037363828015458
MAN1E_W29,None at all,0.03683627926423229
MAN1E_W29,Not too much,0.10617600951515674
MAN1E_W29,Refused,0.004202977344111284
MAN1E_W29,Some,0.44904835107495394
BOYSF1A_W29,About right,0.4348540350181723
BOYSF1A_W29,Refused,0.012096626229180217
BOYSF1A_W29,Too little emphasis,0.4085188903684847
BOYSF1A_W29,Too much emphasis,0.1445304483841628
BOYSF1B_W29,About right,0.2915329123888372
BOYSF1B_W29,Refused,0.010252804165589538
BOYSF1B_W29,Too little emphasis,0.5903829246981592
BOYSF1B_W29,Too much emphasis,0.10783135874741387
BOYSF1C_W29,About right,0.46034380001474684
BOYSF1C_W29,Refused,0.01101433551088704
BOYSF1C_W29,Too little emphasis,0.3908224405803194
BOYSF1C_W29,Too much emphasis,0.13781942389404678
BOYSF1D_W29,About right,0.40976392491517055
BOYSF1D_W29,Refused,0.0091288365415733
BOYSF1D_W29,Too little emphasis,0.5163404189942603
BOYSF1D_W29,Too much emphasis,0.06476681954899591
GIRLSF2A_W29,About right,0.3803801091127524
GIRLSF2A_W29,Refused,0.008337818121719902
GIRLSF2A_W29,Too little emphasis,0.5214645905683664
GIRLSF2A_W29,Too much emphasis,0.08981748219716147
GIRLSF2B_W29,About right,0.518625352184805
GIRLSF2B_W29,Refused,0.01180021681039205
GIRLSF2B_W29,Too little emphasis,0.3608646933732702
GIRLSF2B_W29,Too much emphasis,0.10870973763153274
GIRLSF2C_W29,About right,0.4017524239180085
GIRLSF2C_W29,Refused,0.008307442141339778
GIRLSF2C_W29,Too little emphasis,0.5261775730863245
GIRLSF2C_W29,Too much emphasis,0.06376256085432727
GIRLSF2D_W29,About right,0.5047568212997926
GIRLSF2D_W29,Refused,0.008357559009203253
GIRLSF2D_W29,Too little emphasis,0.4137635257251535
GIRLSF2D_W29,Too much emphasis,0.07312209396585066
HARASS1A_W32,Major problem,0.31092506220387217
