id;key;question
1;DIFF1A_W29;Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?
2;DIFF1B_W29;Do you think men and women are basically similar or basically different when it comes to their physical abilities?
3;DIFF1C_W29;Do you think men and women are basically similar or basically different when it comes to their approach to parenting?
4;DIFF1D_W29;Do you think men and women are basically similar or basically different when it comes to how they express their feelings?
5;DIFF1E_W29;Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?
6;MASC1F1_W29;Thinking about how society sees men these days, in general, would you say most people look up to or look down on men who are manly or masculine?
7;MASC2AF1_W29;Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine?
8;MASC2BF1_W29;Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine?
9;FEM1F2_W29;Thinking about how society sees women these days, in general, would you say most people look up to or look down on women who are womanly or feminine?
10;FEM2AF2_W29;Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine?
11;FEM2BF2_W29;Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine?
12;MAN1A_W29;In general, how much pressure, if any, do you think men face these days to be interested in sports?
13;MAN1B_W29;In general, how much pressure, if any, do you think men face these days to have many sexual partners?
14;MAN1C_W29;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way?
15;MAN1D_W29;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked?
16;MAN1E_W29;In general, how much pressure, if any, do you think men face these days to be emotionally strong?
17;BOYSF1A_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?
18;BOYSF1B_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?
19;BOYSF1C_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?
20;BOYSF1D_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?
21;GIRLSF2A_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?
22;GIRLSF2B_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?
23;GIRLSF2C_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?
24;GIRLSF2D_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?
25;HARASS1A_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
26;HARASS1B_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are?
27;HARASS1C_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
28;HARASS1D_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
29;HARASS2F1_W32;In the long run, do you think the increased focus on sexual harassment and assault will lead to more or fewer opportunities for women in the workplace?
30;HARASS3F2_W32;Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women in the workplace, or hasn't it made much difference?
31;WOMENOPPS_W32;Do you think there are still significant obstacles that make it harder for women than men to get ahead?
32;STYLE1_W36;Think about the leadership styles of people in top positions in business and politics. In general, when it comes to their approach to leadership, do you think that men and women are basically similar or basically different?
33;STYLE2_W36;Thinking about the ways in which men and women in top positions in business and politics are different in their approach to leadership, would you say men or women generally have a better approach?
34;AMNTWMNPF1_W36;Thinking about politics today, would you say there are too many or too few women in high political offices, or is the number about right?
35;AMNTWMNP2F1_W36;What do you think would be the ideal situation when it comes to the number of women in high political office?
