id;key;option;likert_question;scale
1;DIFF1A_W29;Men and women are basically similar;Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests? To what extent do you agree with the following statement: Men and women are basically similar when it comes to their hobbies and personal interests. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
1;DIFF1A_W29;Men and women are basically different;Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests? To what extent do you agree with the following statement: Men and women are basically different when it comes to their hobbies and personal interests. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
2;DIFF1B_W29;Men and women are basically similar;Do you think men and women are basically similar or basically different when it comes to their physical abilities? To what extent do you agree with the following statement: Men and women are basically similar when it comes to their physical abilities. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
2;DIFF1B_W29;Men and women are basically different;Do you think men and women are basically similar or basically different when it comes to their physical abilities? To what extent do you agree with the following statement: Men and women are basically different when it comes to their physical abilities. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
3;DIFF1C_W29;Men and women are basically similar;Do you think men and women are basically similar or basically different when it comes to their approach to parenting? To what extent do you agree with the following statement: Men and women are basically similar when it comes to their approach to parenting. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
3;DIFF1C_W29;Men and women are basically different;Do you think men and women are basically similar or basically different when it comes to their approach to parenting? To what extent do you agree with the following statement: Men and women are basically different when it comes to their approach to parenting. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
4;DIFF1D_W29;Men and women are basically similar;Do you think men and women are basically similar or basically different when it comes to how they express their feelings? To what extent do you agree with the following statement: Men and women are basically similar when it comes to how they express their feelings. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
4;DIFF1D_W29;Men and women are basically different;Do you think men and women are basically similar or basically different when it comes to how they express their feelings? To what extent do you agree with the following statement: Men and women are basically different when it comes to how they express their feelings. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
5;DIFF1E_W29;Men and women are basically similar;Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace? To what extent do you agree with the following statement: Men and women are basically similar when it comes to the things they are good at in the workplace. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
5;DIFF1E_W29;Men and women are basically different;Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace? To what extent do you agree with the following statement: Men and women are basically different when it comes to the things they are good at in the workplace. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
6;MASC1F1_W29;Most people look up to men who are manly or masculine;Thinking about how society sees men these days, in general, would you say most people look up to men who are manly or masculine? To what extent do you agree with the following statement: Most people look up to men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
6;MASC1F1_W29;Most people look down on men who are manly or masculine;Thinking about how society sees men these days, in general, would you say most people look down on men who are manly or masculine? To what extent do you agree with the following statement: Most people look down on men who are manly or masculine. Please rate your agreement from 1 (strongly disagree) to 4 (strongly agree).;1=Strongly disagree, 2=Disagree, 3=Agree, 4=Strongly agree
