id,key,question,options,option_ordinal
1,DIFF1A_W29,Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
2,DIFF1B_W29,Do you think men and women are basically similar or basically different when it comes to their physical abilities?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
3,DIFF1C_W29,Do you think men and women are basically similar or basically different when it comes to their approach to parenting?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
4,DIFF1D_W29,Do you think men and women are basically similar or basically different when it comes to how they express their feelings?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
5,DIFF1E_W29,Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
6,MASC1F1_W29,"Thinking about how society sees men these days, in general, would you say","['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither', 'Refused']","[1.0, 2.0, 1.5]"
7,MASC2AF1_W29,Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
8,MASC2BF1_W29,Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
9,FEM1F2_W29,"Thinking about how society sees women these days, in general, would you say","['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither', 'Refused']","[1.0, 2.0, 1.5]"
10,FEM2AF2_W29,Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
11,FEM2BF2_W29,Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
12,MAN1A_W29,"In general, how much pressure, if any, do you think men face these days to be interested in sports?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
13,MAN1B_W29,"In general, how much pressure, if any, do you think men face these days to have many sexual partners?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
